candidate,path,description,weights,public_proxy_mse,observed_public_mse,validation_mse,validation_rmse,validation_mae,event_adjustment,event_profile,event_changed_rows,validation_adjusted_rows,mean,std,min,max
raw_count_0p52500_event_score_rebound_1p75,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_1p75.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_1p75,12,0,258.0919487855503,216.49871689137603,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_fit,12,0,258.09972062233777,216.4939025400416,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_weather3_soft,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_weather3_soft.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2816.660104611685,53.07221593839553,33.433959526546175,True,score_rebound_fit_weather3_soft,243,250,257.3850514940246,216.28828232747105,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_weather3_holiday_soft,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_weather3_holiday_soft.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2816.660104611685,53.07221593839553,33.433959526546175,True,score_rebound_fit_weather3_holiday_soft,303,250,256.7899955074579,216.50502697183825,2.639411385511602,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_weather3_holiday_strong,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_weather3_holiday_strong.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2816.660104611685,53.07221593839553,33.433959526546175,True,score_rebound_fit_weather3_holiday_strong,303,250,256.5478105250657,216.63399871224058,2.3094849623226517,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_weather3_holiday_extended,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_weather3_holiday_extended.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2816.660104611685,53.07221593839553,33.433959526546175,True,score_rebound_fit_weather3_holiday_extended,359,250,256.0900672375111,216.66757310319235,2.3094849623226517,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_holiday_soft,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_holiday_soft.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_fit_holiday_soft,82,0,257.4903406027799,216.72203976211287,2.639411385511602,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_holiday_strong,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_holiday_strong.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_fit_holiday_strong,82,0,257.24815562038765,216.85166482270242,2.3094849623226517,1033.3963751078654
raw_count_0p52500_event_score_rebound_fit_holiday_extended,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_fit_holiday_extended.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_fit_holiday_extended,154,0,256.76441482693554,216.90358773902295,2.3094849623226517,1033.3963751078654
raw_count_0p52500_event_late_2012_calendar_rebalance,outputs/candidates/submission_raw_count_0p52500_event_late_2012_calendar_rebalance.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2991.723364216579,54.69664856475741,34.56205633499241,True,late_2012_calendar_rebalance,3476,156,238.82334945783876,202.6878206784417,0.8800112876569985,964.4264544576394
raw_count_0p52500_event_score_rebound_2p25,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_2p25.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_2p25,12,0,258.10749245912524,216.48929490735665,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_score_rebound_2p50,outputs/candidates/submission_raw_count_0p52500_event_score_rebound_2p50.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,score_rebound_2p50,12,0,258.1152642959127,216.4848940065205,3.2992642318895027,1033.3963751078654
raw_count_0p52500_event_stronger,outputs/candidates/submission_raw_count_0p52500_event_stronger.csv,raw/count validation grid candidate for manual public-score probing,main_raw:0.47500;count_calibrated:0.52500,,,2830.798377958955,53.20524765433345,33.503232921460544,True,stronger,12,0,258.00586552764634,216.558940387208,3.2992642318895027,1033.3963751078654
